[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Run ShowPageTrace Behavior [ RunTime:0.000660s ]
[ 2014-08-28T00:01:32+08:00 ] /v/admin.php/User/addAdmin | INFO: Tag[ view_end ] --END-- [ RunTime:0.000734s ]
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | INFO: Tag[ route_check ] --START--
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | INFO: Run CheckRoute Behavior [ RunTime:0.000768s ]
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000852s ]
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000584s ]
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000645s ]
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002638s ]
[ 2014-08-28T00:01:35+08:00 ] /v/admin.php/User/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000180s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.002748s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | SQL: SELECT user.id AS id,user.`lock` AS `lock`,user.registime AS registime,userinfo.username AS username,userinfo.face50 AS face,userinfo.follow AS follow,userinfo.fans AS fans,userinfo.weibo AS weibo FROM hd_user user LEFT JOIN hd_userinfo userinfo ON user.id = userinfo.uid LIMIT 0,20   [ RunTime:0.000316s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_template ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000738s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.000800s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Run ParseTemplate Behavior [ RunTime:0.008722s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008787s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Run ContentReplace Behavior [ RunTime:0.000731s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Run TokenBuild Behavior [ RunTime:0.000617s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000411s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000689s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002654s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_end ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Run ShowPageTrace Behavior [ RunTime:0.000543s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/User/index | INFO: Tag[ view_end ] --END-- [ RunTime:0.000598s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ route_check ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run CheckRoute Behavior [ RunTime:0.000848s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ route_check ] --END-- [ RunTime:0.000951s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ app_begin ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000749s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000831s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.004221s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | SQL: SELECT COUNT(*) AS tp_count FROM `hd_weibo` WHERE ( `isturn` = 0 ) LIMIT 1   [ RunTime:0.000296s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `hd_picture` [ RunTime:0.003373s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | SQL: SHOW COLUMNS FROM `hd_userinfo` [ RunTime:0.003583s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | SQL: SELECT weibo.id AS id,weibo.content AS content,weibo.isturn AS isturn,weibo.time AS time,weibo.turn AS turn,weibo.keep AS keep,weibo.comment AS comment,picture.max AS pic,userinfo.uid AS uid,userinfo.username AS username FROM hd_weibo weibo LEFT JOIN hd_picture picture ON weibo.id = picture.wid LEFT JOIN hd_userinfo userinfo ON weibo.uid = userinfo.uid WHERE ( weibo.isturn = 0 ) ORDER BY weibo.time DESC LIMIT 0,20   [ RunTime:0.000873s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_template ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run LocationTemplate Behavior [ RunTime:0.000969s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_template ] --END-- [ RunTime:0.001050s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_parse ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run ParseTemplate Behavior [ RunTime:0.011854s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_parse ] --END-- [ RunTime:0.011936s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_filter ] --START--
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run ContentReplace Behavior [ RunTime:0.000736s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run TokenBuild Behavior [ RunTime:0.000639s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000448s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Run ShowRuntime Behavior [ RunTime:0.000696s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002730s ]
[ 2014-08-28T00:01:36+08:00 ] /v/admin.php/Weibo/index | INFO: Tag[ view_end ] --START--
