[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run TokenBuild Behavior [ RunTime:0.000990s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000766s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001066s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004090s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_end ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000978s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001082s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ route_check ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Run CheckRoute Behavior [ RunTime:0.000727s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ route_check ] --END-- [ RunTime:0.000805s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000565s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000622s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | SQL: SHOW COLUMNS FROM `hd_user` [ RunTime:0.002959s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` LIMIT 1   [ RunTime:0.000196s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | SQL: SELECT COUNT(*) AS tp_count FROM `hd_user` WHERE ( `lock` = 1 ) LIMIT 1   [ RunTime:0.000200s ]
[ 2014-08-27T23:41:35+08:00 ] /v/admin.php/Index/copy | SQL: SHOW COLUMNS FROM `hd_weibo` [ RunTime:0.002789s ]
