[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:06+08:00 ] /v/ | SQL: SELECT `uid`,`username`,`face50` AS `face`,COUNT(f.`follow`) AS `count` FROM `hd_follow` f LEFT JOIN `hd_userinfo` u ON f.`follow` = u.`uid` WHERE f.`fans` IN (3,2,0,0) AND f.`follow` NOT IN (3,2,0,0) AND f.`follow` <>1 GROUP BY f.`follow` ORDER BY `count` DESC LIMIT 4 [ RunTime:0.000374s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Run ParseTemplate Behavior [ RunTime:0.047721s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.047796s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_filter ] --START--
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Run ContentReplace Behavior [ RunTime:0.001198s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Run TokenBuild Behavior [ RunTime:0.000420s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000349s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000727s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.002922s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_end ] --START--
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000493s ]
[ 2014-08-27T22:19:06+08:00 ] /v/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000553s ]
[ 2014-08-27T22:19:07+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2014-08-27T22:19:07+08:00 ] /v/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000830s ]
[ 2014-08-27T22:19:07+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000929s ]
[ 2014-08-27T22:19:07+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:07+08:00 ] /v/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000670s ]
[ 2014-08-27T22:19:07+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000773s ]
[ 2014-08-27T22:19:12+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2014-08-27T22:19:12+08:00 ] /v/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001698s ]
[ 2014-08-27T22:19:12+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001880s ]
[ 2014-08-27T22:19:12+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:12+08:00 ] /v/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001127s ]
[ 2014-08-27T22:19:12+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001257s ]
[ 2014-08-27T22:19:18+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2014-08-27T22:19:18+08:00 ] /v/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.001456s ]
[ 2014-08-27T22:19:18+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.001623s ]
[ 2014-08-27T22:19:18+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:18+08:00 ] /v/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000966s ]
[ 2014-08-27T22:19:18+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001096s ]
[ 2014-08-27T22:19:23+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --START--
[ 2014-08-27T22:19:23+08:00 ] /v/Index/getMsg | INFO: Run CheckRoute Behavior [ RunTime:0.000812s ]
[ 2014-08-27T22:19:23+08:00 ] /v/Index/getMsg | INFO: Tag[ route_check ] --END-- [ RunTime:0.000915s ]
[ 2014-08-27T22:19:23+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --START--
[ 2014-08-27T22:19:23+08:00 ] /v/Index/getMsg | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000530s ]
[ 2014-08-27T22:19:23+08:00 ] /v/Index/getMsg | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000605s ]
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | INFO: Tag[ route_check ] --START--
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | INFO: Run CheckRoute Behavior [ RunTime:0.000833s ]
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | INFO: Tag[ route_check ] --END-- [ RunTime:0.000931s ]
[ 2014-08-27T22:19:26+08:00 ] /v/Index/editStyle | INFO: Tag[ app_begin ] --START--
